	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16730.833340807	7.90150466410333	0.408337417877798	19.3504301054967	2.02148224036983e-83	1.18256711061635e-79
gene-YDR536W	gene-YDR536W	10088.9133996504	7.87601029538891	0.41133735663034	19.1473255915993	1.01886596460305e-81	2.98018294646391e-78
gene-YHR094C	gene-YHR094C	8495.90710807806	7.88348510180627	0.431791867819455	18.2576043907862	1.80018069435969e-74	3.5103523540014e-71
gene-YNL065W	gene-YNL065W	2109.69321444747	7.78705489066578	0.466802696882966	16.6816835949389	1.78127163218282e-62	2.60510976206738e-59
gene-YKL120W	gene-YKL120W	1727.25565200228	7.2710035237218	0.482354984409051	15.0739678426455	2.40240981870489e-51	2.81081948788472e-48
gene-YJL122W	gene-YJL122W	1291.78258807282	6.49681507018703	0.432633135491908	15.0169151116918	5.68945860223454e-51	5.52820257483207e-48
gene-YLR264W	gene-YLR264W	1388.64949565899	6.48555133798532	0.432170734124939	15.0069193165458	6.61494325193582e-51	5.52820257483207e-48
gene-YGR159C	gene-YGR159C	8021.9834534548	6.76892166747708	0.451679007081574	14.9861329868151	9.04695260044335e-51	6.6155840890742e-48
gene-YNL112W	gene-YNL112W	5329.40267024237	7.3653942135479	0.493575943363169	14.9225145848093	2.35238574935458e-50	1.52905073708047e-47
gene-YOR271C	gene-YOR271C	1052.40202515952	6.84585283843064	0.472776007993418	14.4801189626483	1.61816871796394e-47	9.46628700008905e-45
gene-YJL108C	gene-YJL108C	955.219803374772	5.99774103441389	0.427912146170539	14.0162906991277	1.23924583942252e-44	6.59053469147429e-42
gene-YJL107C	gene-YJL107C	845.566272923275	6.1736646054159	0.443069563256116	13.9338494841434	3.94506337037756e-44	1.92321839305906e-41
gene-YOR360C	gene-YOR360C	1923.23735885964	5.66050079380061	0.406894026148218	13.9114866034889	5.39464093885768e-44	2.42758842248596e-41
gene-YOL124C	gene-YOL124C	594.128501268753	7.80582747780632	0.56285969167364	13.8681586073361	9.87802013666484e-44	4.12760127139209e-41
gene-YOL136C	gene-YOL136C	1162.05293168492	5.7109182710921	0.41639890356887	13.7150175520276	8.25464121644086e-43	3.21931007441194e-40
gene-YER127W	gene-YER127W	730.932134629958	5.98231518570986	0.44128721503174	13.5565114554238	7.25031516547117e-42	2.6508964823754e-39
gene-YLR180W	gene-YLR180W	1931.55308295878	6.78231429518742	0.504063778946185	13.45527010365	2.86689792538285e-41	9.86550168440567e-39
gene-YCR072C	gene-YCR072C	701.069580964293	5.89651847805552	0.439062812685599	13.429783410689	4.04593099672351e-41	1.31492757393514e-38
gene-YNL141W	gene-YNL141W	2900.94610231965	6.47451937506633	0.482327264061482	13.4234986439436	4.40419730075201e-41	1.35602916891575e-38
gene-YML043C	gene-YML043C	522.207439480497	6.41566566241901	0.4818988374849	13.3133038790948	1.93722001293367e-40	5.66636853783098e-38
gene-YMR300C	gene-YMR300C	1596.71697435085	5.81653565747143	0.43956079461891	13.2326079320023	5.68789546691465e-40	1.58448516578337e-37
gene-YEL026W	gene-YEL026W	2038.51883811808	5.36945375315773	0.409718700727183	13.1052201025431	3.07369237035229e-39	8.17322743934587e-37
gene-YOR359W	gene-YOR359W	477.961065076228	6.35850051614738	0.486303981840207	13.0751561854098	4.56625099710833e-39	1.1614160144819e-36
gene-YHR066W	gene-YHR066W	1305.75788344936	5.5846262984467	0.428110606287841	13.0448211663597	6.80164026031538e-39	1.65789981345187e-36
gene-YGR079W	gene-YGR079W	1514.39156193895	5.33002954006297	0.409139331874619	13.0274190839622	8.54493816461682e-39	1.99951553052034e-36
gene-YIR012W	gene-YIR012W	1539.40196476847	5.33354119800629	0.414603409333211	12.8642000474236	7.15791271115769e-38	1.61053036001048e-35
gene-YJL148W	gene-YJL148W	1277.95411568407	5.22815142111468	0.407588922112881	12.8270204057871	1.1572989452318e-37	2.50748104800224e-35
gene-YOL041C	gene-YOL041C	1901.47880441183	5.69116527692263	0.443847698267672	12.8223381559376	1.2293651937942e-37	2.56849513703432e-35
gene-YLR327C	gene-YLR327C	14461.6434807875	-5.02336016709789	0.392476325145949	-12.7991418723916	1.65772927562949e-37	3.34404009049397e-35
gene-YOL151W	gene-YOL151W	10485.2084277833	5.98256337671678	0.469734673192098	12.7360480674379	3.72805921149638e-37	7.26971546241793e-35
gene-YBL028C	gene-YBL028C	858.097570518211	5.3932296377105	0.424125030468103	12.7161314477432	4.81095080248993e-37	9.07872974018262e-35
gene-YOL080C	gene-YOL080C	383.032517954929	6.25369794522239	0.492139347089447	12.7071691832959	5.39523676355779e-37	9.86316720837908e-35
gene-YDL063C	gene-YDL063C	1079.00746983862	5.55353162459223	0.437138619070044	12.7042804783678	5.59819483461026e-37	9.92407266135455e-35
gene-YML018C	gene-YML018C	802.369460515425	5.83938231202752	0.461021143175534	12.6661919924227	9.10270856043281e-37	1.56620132583917e-34
gene-YHR196W	gene-YHR196W	1195.98449098815	5.1598859947038	0.408016047617976	12.6462819902	1.17295559034647e-36	1.96051148672195e-34
gene-YNR060W	gene-YNR060W	1990.49715491516	6.43377497240922	0.510839613892586	12.5945106789664	2.26359308137774e-36	3.67833875723883e-34
gene-YPL212C	gene-YPL212C	1385.40176067081	5.22897666696037	0.418696879031488	12.4886927245692	8.60560233128774e-36	1.36061550373063e-33
gene-YBL039C	gene-YBL039C	2044.4788785133	6.18614249685679	0.496558471229339	12.4580343610726	1.26448955577059e-35	1.94664839506788e-33
