# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-a" "annotation.gtf" "-o" "SRR" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YAL068C	14	16	2	6
gene-YAL067W-A	0	0	0	0
gene-YAL067C	116	69	5	11
gene-YAL065C	11	3	2	3
gene-YAL064W-B	1	3	0	0
gene-YAL064C-A	0	1	1	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	28	20	2	3
gene-YAL062W	7596	1095	131	161
gene-YAL061W	1907	1941	32	82
gene-YAL060W	4076	4826	84	332
gene-YAL059W	135	254	528	1672
gene-YAL058W	85	137	55	195
gene-YAL056W	1401	1171	26	79
gene-YAL055W	225	212	12	37
gene-YAL054C	23270	6371	158	125
gene-YAL053W	1927	772	387	922
gene-YAL051W	522	472	63	197
gene-YAL049C	2664	2406	67	295
gene-YAL048C	254	225	28	84
gene-YAL047C	101	122	24	86
gene-YAL046C	38	193	27	152
gene-YAL044W-A	519	462	25	124
gene-YAL044C	805	1524	141	436
gene-YAL043C	635	684	125	543
gene-YAL042W	422	853	140	594
gene-YAL041W	166	364	124	398
gene-YAL040C	856	609	276	738
gene-YAL039C	749	1034	139	354
gene-YAL038W	37694	18064	3979	11019
gene-YAL037C-A	21	16	6	11
gene-YAL037W	42	51	18	54
gene-YAL036C	183	248	452	1601
gene-YAL035W	1456	2130	934	2933
gene-YAL034W-A	71	136	14	47
gene-YAL034C	4051	2095	95	330
gene-YAL033W	64	117	33	203
gene-YAL032C	86	180	78	248
gene-YAL031C	485	460	49	162
gene-YAL030W	755	791	39	174
gene-YAL029C	280	525	173	545
gene-YAL028W	214	161	6	36
gene-YAL027W	340	457	20	70
gene-YAL026C	222	326	59	236
gene-YNCA0001W	5	6	0	2
gene-YAL025C	135	257	850	2899
gene-YAL024C	42	95	32	102
gene-YAL023C	476	1403	328	1160
gene-YAL022C	33	56	36	108
gene-YAL021C	798	830	110	352
gene-YAL020C	253	308	15	109
gene-YAL019W	206	289	147	460
gene-YAL018C	0	0	0	1
gene-YAL017W	2358	1720	26	91
gene-YAL016W	3905	4009	142	614
gene-YAL015C	232	460	34	212
gene-YAL014C	274	464	43	200
gene-YAL013W	455	698	157	535
gene-YAL012W	106	234	855	3009
gene-YAL011W	149	202	78	255
gene-YAL010C	184	238	19	103
gene-YAL009W	112	91	32	141
gene-YAL008W	1410	980	40	104
gene-YAL007C	118	509	58	267
gene-YNCA0002W	0	0	0	0
gene-YAL005C	15059	41897	294	1585
gene-YAL003W	4639	11910	2711	9855
gene-YNCA0003W	18	91	23	52
gene-YAL002W	412	311	107	382
gene-YAL001C	684	695	27	113
gene-YAR002W	284	432	279	1033
gene-YAR002C-A	679	1607	103	417
gene-YAR003W	88	165	41	176
gene-YAR007C	241	851	7	51
gene-YAR008W	62	156	14	41
gene-YAR009C	0	0	0	0
gene-YAR010C	0	0	0	0
gene-YNCA0004W	0	2	0	1
gene-YAR014C	474	468	279	734
gene-YAR015W	884	1650	664	1199
gene-YAR018C	196	317	19	102
gene-YAR019C	317	442	43	107
gene-YAR020C	13	7	0	13
gene-YAR023C	163	207	11	34
gene-YNCA0005W	0	0	0	0
gene-YNCA0006C	0	0	0	0
gene-YAR027W	797	665	20	96
gene-YAR028W	267	295	14	54
gene-YAR029W	71	62	7	29
gene-YAR031W	19	21	2	7
gene-YAR033W	15	13	0	2
gene-YAR035W	8898	2717	77	108
gene-YAR035C-A	14	7	0	0
gene-YAR042W	1336	854	80	219
gene-YAR050W	157	138	6	13
gene-YAR061W	11	17	1	1
gene-YAR064W	2	5	0	4
gene-YAR066W	1	2	0	2
gene-YAR068W	14	102	3	6
gene-YAR071W	56	36	2	20
gene-YBL113C	224	243	11	47
gene-YBL112C	0	0	0	0
gene-YBL111C	1	1	0	0
gene-YBL108C-A	3	0	0	0
gene-YNCB0001W	1	0	0	1
gene-YBL107C	261	362	41	128
gene-YBL106C	266	204	14	74
gene-YBL105C	2023	1527	129	420
gene-YBL104C	218	337	55	223
gene-YBL103C	566	373	56	255
gene-YBL102W	810	833	46	244
gene-YBL101C	844	547	43	135
gene-YBL100W-C	18	14	1	2
gene-YBL100W-A	0	0	0	0
gene-YBL100W-B	20	12	8	31
gene-YNCB0002W	0	1	0	0
gene-YBL099W	10472	17860	284	1190
gene-YBL098W	135	306	26	130
gene-YBL097W	29	81	6	22
gene-YBL095W	433	665	276	1023
gene-YBL093C	299	278	647	1882
gene-YBL092W	1984	4223	4148	17985
gene-YBL091C-A	107	238	12	61
gene-YBL091C	1411	2268	250	1081
gene-YBL090W	342	880	78	274
gene-YBL089W	64	81	71	240
gene-YBL088C	569	447	65	299
gene-YBL087C	307	883	1259	5167
gene-YBL086C	676	593	58	197
gene-YBL085W	221	357	58	204
gene-YBL084C	537	382	147	374
gene-YBL082C	207	469	96	394
gene-YBL081W	33	55	233	742
gene-YBL080C	64	156	6	68
gene-YBL079W	295	452	200	735
gene-YBL078C	4825	2480	72	136
gene-YBL076C	383	954	972	2994
gene-YBL075C	23663	3063	301	385
